Year,Total Fertility Rate
1950,4.86
1951,4.83
1952,5.01
1953,4.94
1954,5.01
1955,5.01
1956,4.94
1957,5.08
1958,4.94
1959,4.74
1960,4.70
1961,4.57
1962,5.03
1963,5.32
1964,5.13
1965,5.08
1966,4.96
1967,4.86
1968,4.96
1969,4.87
1970,4.83
1971,4.68
1972,4.55
1973,4.42
1974,4.27
1975,4.08
1976,3.98
1977,3.85
1978,3.79
1979,3.78
1980,3.75
1981,3.72
1982,3.71
1983,3.58
1984,3.55
1985,3.52
1986,3.51
1987,3.48
1988,3.39
1989,3.35
1990,3.31
1991,3.13
1992,3.04
1993,2.98
1994,2.93
1995,2.88
1996,2.83
1997,2.79
1998,2.76
1999,2.73
2000,2.73
2001,2.70
2002,2.67
2003,2.65
2004,2.64
2005,2.62
2006,2.61
2007,2.61
2008,2.61
2009,2.61
2010,2.59
2011,2.57
2012,2.59
2013,2.56
2014,2.55
2015,2.52
2016,2.53
2017,2.50
2018,2.44
2019,2.41
2020,2.35
2021,2.32
2022,2.31
2023,2.31
2024,2.31
2025,2.30
2026,2.30
2027,2.29
2028,2.29
2029,2.28
2030,2.27
2031,2.27
2032,2.26
2033,2.25
2034,2.24
2035,2.23
2036,2.23
2037,2.22
2038,2.22
2039,2.21
2040,2.21
2041,2.20
2042,2.20
2043,2.19
2044,2.19
2045,2.18
2046,2.18
2047,2.17
2048,2.17
2049,2.16
2050,2.15
2051,2.14
2052,2.13
2053,2.12
2054,2.11
2055,2.10
2056,2.10
2057,2.09
2058,2.08
2059,2.07
2060,2.06
2061,2.05
2062,2.04
2063,2.03
2064,2.03
2065,2.02
2066,2.01
2067,2.00
2068,2.00
2069,1.99
2070,1.98
2071,1.97
2072,1.97
2073,1.96
2074,1.96
2075,1.95
2076,1.95
2077,1.94
2078,1.93
2079,1.93
2080,1.92
2081,1.92
2082,1.92
2083,1.91
2084,1.91
2085,1.90
2086,1.90
2087,1.89
2088,1.89
2089,1.88
2090,1.88
2091,1.87
2092,1.87
2093,1.86
2094,1.86
2095,1.86
2096,1.85
2097,1.85
2098,1.84
2099,1.84
2100,1.84
